species,specimen,id,region,catalog,SL,image_area,x,y,direction,diameter,angle,type,diameter_SL
Mbar,Mbar1,Mbar1_R3,R3,MCZ132342,247.86,35.00487,5.659,4.093,ventral,0.131,-89.677,minute,0.000528524
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,3.258,2.216,ventral,0.131,-110.225,minute,0.001118415
Sboa,Sboa2,Sboa2_R1,R1,MCZ129188,164.68,36.425522,4.598,0.495,ventral,0.131,-92.203,minute,0.000795482
Anig,Anig3,Anig3_R2,R2,MCZ52845,49.14,14.598325,0.683,4.863,ventral,0.13,-94.399,minute,0.002645503
Cpli,Cpli2,Cpli2_R2,R2,MCZ132708,105.13,21.22857,6.381,5.149,ventral,0.13,-43.452,minute,0.001236564
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,6.892,1.062,ventral,0.13,-99.134,minute,0.000951753
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,2.285,2.517,ventral,0.129,-9.189,minute,0.00118588
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,0.41,1.594,ventral,0.129,-179.246,minute,0.00130898
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,1.338,3.507,ventral,0.129,-123.642,minute,0.00130898
Fbou,Fbou2,Fbou2_R3,R3,MCZ53252,123.79,32.925747,5.874,2.96,ventral,0.129,-67.38,serial,0.001042087
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,5.766,5.013,ventral,0.129,-119.315,minute,0.00110134
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,0.42,0.928,ventral,0.129,-38.716,minute,0.00110134
Ncap,Ncap1,Ncap1_R2,R2,MCZ132795,55.85,25.607355,1.167,1.9,ventral,0.129,-119.597,serial,0.002309758
Pgue,Pgue2,Pgue2_R3,R3,MCZ131481,95.75,28.476474,5.137,3.52,ventral,0.129,-94.574,minute,0.001347258
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,6.336,0.627,ventral,0.128,-76.504,minute,0.002672234
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,0.286,0.988,ventral,0.128,-74.863,minute,0.0010133
Fbou,Fbou1,Fbou1_R3,R3,MCZ70491,228.03,22.664012,3.586,4.778,ventral,0.128,-98.858,minute,0.00056133
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,2.807,1.947,ventral,0.128,-114.624,minute,0.001092803
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,1.294,3.749,ventral,0.128,-105.651,minute,0.001092803
Ncap,Ncap1,Ncap1_R2,R2,MCZ132795,55.85,25.607355,2.865,0.414,ventral,0.128,-108.216,serial,0.002291853
Pgue,Pgue2,Pgue2_R3,R3,MCZ131481,95.75,28.476474,1.453,4.163,ventral,0.128,-75.964,minute,0.001336815
Pgue,Pgue2,Pgue2_R3,R3,MCZ131481,95.75,28.476474,2.842,3.986,ventral,0.128,-75.964,minute,0.001336815
Pgue,Pgue3,Pgue3_R3,R3,MCZ131481,102.3,34.134724,4.771,4.242,ventral,0.128,-90,minute,0.001251222
Pgue,Pgue5,Pgue5_R3,R3,MCZ131477,106.07,36.592398,3.63,4.764,ventral,0.128,-79.504,minute,0.00120675
Pgue,Pgue5,Pgue5_R3,R3,MCZ131477,106.07,36.592398,5.98,4.309,ventral,0.128,-93,minute,0.00120675
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,0.795,0.835,ventral,0.128,-94.574,minute,0.000791394
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,4.315,0.495,ventral,0.128,-115.757,minute,0.001121037
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,0.862,0.929,ventral,0.127,-158.728,minute,0.001167494
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,3.505,1.235,ventral,0.127,-49.998,minute,0.001167494
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,5.316,5.057,ventral,0.127,-18.041,minute,0.001563462
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,1.805,0.356,ventral,0.127,-128.109,minute,0.001288686
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,2.73,3.063,ventral,0.127,-96.234,minute,0.001005383
Pgue,Pgue1,Pgue1_R1,R1,MCZ131481,95.69,24.818784,0.459,1.733,,0.127,NA,minute,0.001327202
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,4.538,3.771,ventral,0.126,-92.291,minute,0.002245589
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,1.842,4.562,ventral,0.126,-86.013,minute,0.002293411
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,4.139,5.171,ventral,0.126,-49.968,minute,0.000922469
Mbar,Mbar1,Mbar1_R3,R3,MCZ132342,247.86,35.00487,3.344,1.538,ventral,0.126,-116.084,minute,0.000508351
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,6.469,4.922,ventral,0.126,-138.835,minute,0.001075728
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,6.465,3.675,ventral,0.126,-117.068,minute,0.001075728
Ncap,Ncap1,Ncap1_R2,R2,MCZ132795,55.85,25.607355,2.797,1.204,ventral,0.126,-94.247,serial,0.002256043
Pgue,Pgue3,Pgue3_R3,R3,MCZ131481,102.3,34.134724,1.554,4.926,ventral,0.126,-56.31,minute,0.001231672
Fbou,Fbou3,Fbou3_R3,R3,MCZ70492,91.18,24.443771,3.614,4.458,ventral,0.125,-94.713,serial,0.001370915
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,6.38,1.573,ventral,0.125,-99.462,minute,0.002609603
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,6.769,4.515,ventral,0.125,-101.768,minute,0.002227767
Cpli,Cpli2,Cpli2_R2,R2,MCZ132708,105.13,21.22857,3.791,4.523,ventral,0.125,-75.964,minute,0.001189004
Cpli,Cpli2,Cpli2_R2,R2,MCZ132708,105.13,21.22857,2.744,4.887,ventral,0.125,-87.709,minute,0.001189004
Fbou,Fbou1,Fbou1_R3,R3,MCZ70491,228.03,22.664012,2.609,2.017,ventral,0.125,-96.779,minute,0.000548173
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,5.198,1.231,ventral,0.125,-114.916,minute,0.00106719
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,1.644,0.293,ventral,0.125,-105.622,minute,0.000772845
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,1.876,0.707,ventral,0.125,-124.73,minute,0.001094763
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,2.964,0.468,ventral,0.125,-104.324,minute,0.000851267
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,6.072,0.68,ventral,0.125,-106.685,minute,0.000851267
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,3.694,2.403,ventral,0.124,-146.409,minute,0.001139915
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,1.052,0.841,ventral,0.124,-158.433,minute,0.001258245
Ifas,Ifas3,Ifas3_R3,R3,MCZ149616,252.33,25.697,4.473,4.13,ventral,0.124,-72.568,minute,0.00049142
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,4.89,0.485,,0.124,NA,minute,0.000500282
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,2.757,3.063,,0.124,NA,minute,0.000567116
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,1.291,4.912,ventral,0.124,-110.225,minute,0.001058653
Pmic,Pmic2,Pmic2_R1,R1,MCZ58801,66.5,26.188785,1.647,1.459,ventral,0.124,-79.183,minute,0.001864662
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,3.997,1.507,ventral,0.123,-87.614,minute,0.00256785
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,2.666,2.074,ventral,0.123,-7.62,minute,0.001248097
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,2.339,0.831,ventral,0.122,-129.905,minute,0.00112153
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,4.334,4.423,ventral,0.122,-23.659,minute,0.001501908
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,1.002,2.831,ventral,0.122,-126.261,minute,0.00123795
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,3.369,5.016,ventral,0.122,-123.924,minute,0.00123795
Cpli,Cpli2,Cpli2_R2,R2,MCZ132708,105.13,21.22857,3.239,5.179,ventral,0.122,-85.236,minute,0.001160468
Fbou,Fbou1,Fbou1_R3,R3,MCZ70491,228.03,22.664012,4.947,5.047,ventral,0.122,-101.477,minute,0.000535017
Lgla,Lgla1,Lgla1_R2,R2,MCZ89460,79.83,14.73827,4.69,2.886,ventral,0.122,-105.379,minute,0.001528248
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,2.461,1.557,ventral,0.122,-73.73,minute,0.001041578
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,0.165,3.086,ventral,0.122,-83.587,minute,0.001041578
Pgue,Pgue1,Pgue1_R1,R1,MCZ131481,95.69,24.818784,2.927,1.743,,0.122,NA,minute,0.00127495
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,2.56,3.19,ventral,0.122,-124.92,minute,0.001068488
Sboa,Sboa3,Sboa3_R2,R2,MCZ129188,114.18,31.747851,0.738,3.109,ventral,0.122,-93.084,minute,0.001068488
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.459,3.717,ventral,0.121,-92.386,minute,0.002156478
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,4.333,2.968,ventral,0.121,-90,minute,0.002156478
Anig,Anig3,Anig3_R2,R2,MCZ52845,49.14,14.598325,0.787,2.975,ventral,0.121,-94.764,minute,0.002462352
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,1.913,2.296,ventral,0.121,-129.064,minute,0.001227803
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,3.167,4.599,ventral,0.121,-116.799,minute,0.001227803
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,2.549,3.705,ventral,0.121,-121.563,minute,0.001227803
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,0.356,5.04,ventral,0.121,-79.309,minute,0.002202403
Ifas,Ifas1,Ifas1_R3,R3,MCZ149522,276.64,22.06386,2.263,4.394,ventral,0.121,-103.129,minute,0.000437392
Lgla,Lgla2,Lgla2_R2,R2,MCZ98460,83.64,18.395368,4.415,0.067,ventral,0.121,-114.299,minute,0.001446676
Mbar,Mbar1,Mbar1_R3,R3,MCZ132342,247.86,35.00487,1.876,4.919,ventral,0.121,-82.71,minute,0.000488179
Ncap,Ncap1,Ncap1_R2,R2,MCZ132795,55.85,25.607355,2.629,1.567,ventral,0.121,-108.121,serial,0.002166517
Ncap,Ncap3,Ncap3_R2,R2,MCZ41125,100.26,36.597561,4.967,5.025,ventral,0.121,-126.319,minute,0.001206862
Pgue,Pgue1,Pgue1_R1,R1,MCZ131481,95.69,24.818784,5.768,1.608,,0.121,NA,minute,0.0012645
Pmic,Pmic2,Pmic2_R1,R1,MCZ58801,66.5,26.188785,4.085,2.979,ventral,0.121,-76.797,minute,0.001819549
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,0.625,3.717,ventral,0.121,-102.265,minute,0.001819002
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,5.117,3.466,ventral,0.121,-90,minute,0.001819002
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,6.718,3.91,ventral,0.121,-92.386,minute,0.001819002
Sboa,Sboa2,Sboa2_R2,R2,MCZ129188,164.68,31.444524,3.385,4.396,ventral,0.121,-99.41,minute,0.000734758
Sboa,Sboa3,Sboa3_R2,R2,MCZ129188,114.18,31.747851,3.963,2.73,ventral,0.121,-85.583,minute,0.00105973
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,6.911,2.048,ventral,0.12,-90,minute,0.002505219
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.21,3.961,ventral,0.12,-99.462,minute,0.002138656
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,2.437,2.903,ventral,0.12,-153.534,minute,0.001103144
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,3.411,4.012,ventral,0.12,-123.123,minute,0.001103144
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,5.218,4.598,ventral,0.12,-169.081,minute,0.001477287
Pgue,Pgue3,Pgue3_R2,R2,MCZ131481,102.3,32.44416,1.551,2.915,ventral,0.12,-99.462,minute,0.001173021
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,4.441,1.022,ventral,0.119,-13.856,minute,0.001464976
Cpli,Cpli3,Cpli3_R2,R2,MCZ132707,124.64,27.00343,4.415,0.656,ventral,0.119,-75.379,minute,0.00095475
Cpli,Cpli3,Cpli3_R2,R2,MCZ132707,124.64,27.00343,4.521,0.169,ventral,0.119,-94.764,minute,0.00095475
Fbou,Fbou1,Fbou1_R3,R3,MCZ70491,228.03,22.664012,4.789,4.64,ventral,0.119,-99.14,minute,0.000521861
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,0.551,1.873,,0.119,NA,minute,0.000544249
Pgue,Pgue3,Pgue3_R2,R2,MCZ131481,102.3,32.44416,5.304,2.531,ventral,0.119,-80.538,minute,0.001163245
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,4.888,4.523,ventral,0.118,-99.866,minute,0.002103012
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,6.674,0.215,ventral,0.118,-152.351,minute,0.001452665
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,5.83,0.141,ventral,0.118,-172.11,minute,0.001452665
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,4.848,0.911,ventral,0.118,-6.731,minute,0.001452665
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,2.448,4.905,ventral,0.118,-124.23,minute,0.001197362
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,3.561,1.123,ventral,0.118,-130.208,minute,0.001007428
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,2.28,2.939,ventral,0.118,-83.381,minute,0.001007428
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,0.555,4.26,ventral,0.118,-93.321,minute,0.001007428
Pgue,Pgue1,Pgue1_R1,R1,MCZ131481,95.69,24.818784,3.24,1.743,,0.118,NA,minute,0.001233149
Pgue,Pgue2,Pgue2_R1,R1,MCZ131481,95.75,34.99393,2.141,2.343,ventral,0.118,-102.548,minute,0.001232376
Pgue,Pgue3,Pgue3_R3,R3,MCZ131481,102.3,34.134724,1.875,4.899,ventral,0.118,-94.764,minute,0.00115347
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,5.732,3.682,ventral,0.118,-85.03,minute,0.001773903
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,0.862,3.583,ventral,0.118,-90,minute,0.000729566
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,5.326,3.06,ventral,0.118,-117.77,minute,0.001033456
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,5.198,3.225,ventral,0.118,-120.156,minute,0.001033456
Sboa,Sboa3,Sboa3_R2,R2,MCZ129188,114.18,31.747851,4.815,1.128,ventral,0.118,-97.848,minute,0.001033456
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,5.489,4.73,ventral,0.118,-97.174,minute,0.000803596
Anig,Anig3,Anig3_R2,R2,MCZ52845,49.14,14.598325,2.27,2.543,ventral,0.117,-97.431,minute,0.002380952
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,3.386,0.592,ventral,0.117,-12.903,minute,0.001075565
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,3.325,1.794,ventral,0.117,-162.449,minute,0.001075565
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,3.972,1.311,ventral,0.117,-139.998,minute,0.001187215
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,6.223,3.492,ventral,0.117,-62.598,minute,0.000926219
Fbou,Fbou2,Fbou2_R3,R3,MCZ53252,123.79,32.925747,5.87,2.969,ventral,0.117,-72.35,serial,0.000945149
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,4.371,5.04,ventral,0.117,-90.242,minute,0.00099889
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,4.31,2.512,ventral,0.117,-135.087,minute,0.00099889
Ncap,Ncap1,Ncap1_R2,R2,MCZ132795,55.85,25.607355,3.322,2.36,ventral,0.117,-122.772,serial,0.002094897
Ncap,Ncap1,Ncap1_R2,R2,MCZ132795,55.85,25.607355,6.909,0.639,ventral,0.117,-97.703,serial,0.002094897
Pgue,Pgue2,Pgue2_R1,R1,MCZ131481,95.75,34.99393,1.315,1.989,ventral,0.117,-90.283,minute,0.001221932
Pmic,Pmic2,Pmic2_R1,R1,MCZ58801,66.5,26.188785,5.531,1.173,ventral,0.117,-96.833,minute,0.001759398
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,4.344,1.912,ventral,0.116,-87.51,minute,0.002421712
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,4.506,0.931,ventral,0.116,-90,minute,0.002067368
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,3.014,3.179,ventral,0.116,-122.194,minute,0.001428044
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,2.865,0.545,ventral,0.116,-132.054,minute,0.001177067
Pgue,Pgue1,Pgue1_R1,R1,MCZ131481,95.69,24.818784,4.079,2.119,,0.116,NA,minute,0.001212248
Pgue,Pgue2,Pgue2_R1,R1,MCZ131481,95.75,34.99393,2.101,1.645,ventral,0.116,-112.853,minute,0.001211488
Pgue,Pgue2,Pgue2_R1,R1,MCZ131481,95.75,34.99393,5.503,1.855,ventral,0.116,-124.797,minute,0.001211488
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,6.429,4.09,ventral,0.115,-90,minute,0.002400835
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,4.098,3.923,ventral,0.115,-77.735,minute,0.002400835
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,0.966,1.41,ventral,0.115,-131.523,minute,0.00105718
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,3.364,4.527,ventral,0.115,-148.856,minute,0.001415733
Cpli,Cpli1,Cpli1_R2,R2,MCZ70487,89.17,19.061665,3.247,2.956,ventral,0.115,-125.022,minute,0.001289671
Cpli,Cpli2,Cpli2_R2,R2,MCZ132708,105.13,21.22857,5.268,5.008,ventral,0.115,-64.537,minute,0.001093884
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,3.016,5.077,ventral,0.115,-40.703,minute,0.000841936
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,3.9,3.401,ventral,0.115,-79.413,minute,0.002093193
Ifas,Ifas2,Ifas2_R3,R3,MCZ149524,263.77,24.869376,1.782,4.882,ventral,0.115,-75.46,minute,0.000435986
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,2.969,2.091,ventral,0.115,-103.606,minute,0.000981815
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,6.109,2.396,ventral,0.115,-67.497,minute,0.000981815
Pgue,Pgue1,Pgue1_R3,R3,MCZ131481,95.69,36.162,1.409,5.098,ventral,0.115,-93.094,minute,0.001201797
Pgue,Pgue5,Pgue5_R3,R3,MCZ131477,106.07,36.592398,1.966,5.166,ventral,0.115,-97.97,minute,0.00108419
Pgue,Pgue5,Pgue5_R3,R3,MCZ131477,106.07,36.592398,6.629,4.512,ventral,0.115,-97.97,minute,0.00108419
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,2.604,3.313,ventral,0.115,-107.706,minute,0.000711018
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,5.048,2.35,ventral,0.115,-97.07,minute,0.000783165
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,6.133,0.802,ventral,0.114,-116.565,minute,0.002379958
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,2.278,0.501,ventral,0.114,-131.523,minute,0.001047987
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,1.358,3.066,ventral,0.114,-75.375,minute,0.001156773
Cpli,Cpli2,Cpli2_R2,R2,MCZ132708,105.13,21.22857,6.739,4.558,ventral,0.114,-94.97,minute,0.001084372
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,1.456,2.227,ventral,0.114,-87.667,minute,0.00090247
Lgla,Lgla1,Lgla1_R2,R2,MCZ89460,79.83,14.73827,6.391,3.571,ventral,0.114,-120,minute,0.001428035
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,5.184,2.048,ventral,0.114,-143.915,minute,0.000973278
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,5.248,2.069,ventral,0.114,-75.547,minute,0.000973278
Ncap,Ncap1,Ncap1_R2,R2,MCZ132795,55.85,25.607355,5.49,0.632,ventral,0.114,-108.017,minute,0.002041182
Pgue,Pgue1,Pgue1_R1,R1,MCZ131481,95.69,24.818784,3.98,1.646,,0.114,NA,minute,0.001191347
Pmic,Pmic2,Pmic2_R2,R2,MCZ58801,66.5,19.096749,5.543,4.495,ventral,0.114,-80.466,minute,0.001714286
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,4.152,0.596,ventral,0.114,-77.196,minute,0.000704835
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.716,1.53,ventral,0.113,-90,minute,0.002013901
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,4.336,4.173,ventral,0.113,-92.49,minute,0.002013901
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,0.569,3.152,ventral,0.113,-116.664,minute,0.001038794
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,0.79,0.346,ventral,0.113,-104.932,minute,0.000894554
Ifas,Ifas1,Ifas1_R3,R3,MCZ149522,276.64,22.06386,2.374,4.093,ventral,0.113,-82.275,minute,0.000408473
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,3.866,0.43,ventral,0.113,-126.17,minute,0.00096474
Ncap,Ncap1,Ncap1_R2,R2,MCZ132795,55.85,25.607355,1.318,0.629,ventral,0.113,-146.345,minute,0.002023277
Pgue,Pgue1,Pgue1_R3,R3,MCZ131481,95.69,36.162,0.668,4.542,ventral,0.113,-85.329,minute,0.001180897
Pgue,Pgue2,Pgue2_R1,R1,MCZ131481,95.75,34.99393,5.149,1.639,ventral,0.113,-92.243,minute,0.001180157
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,0.465,0.832,ventral,0.113,-79.695,minute,0.000698652
Fbou,Fbou3,Fbou3_R3,R3,MCZ70492,91.18,24.443771,4.831,4.62,ventral,0.112,-82.374,serial,0.00122834
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,6.179,3.079,ventral,0.112,-95.194,minute,0.001996079
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,1.514,2.322,ventral,0.112,-164.154,minute,0.001029601
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,5.01,0.427,ventral,0.112,-22.676,minute,0.001378801
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,2.696,2.38,ventral,0.112,-161.799,minute,0.001136479
Bmet,Bmet4,Bmet4_R2,R2,MCZ101656,98.55,27.227524,4.524,2.974,ventral,0.112,-163.647,minute,0.001136479
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,0.366,2.522,ventral,0.112,-121.711,minute,0.000886637
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,0.121,2.663,,0.112,NA,minute,0.000512234
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,3.94,4.734,ventral,0.112,-117.99,minute,0.000956203
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,2.572,1.062,ventral,0.112,-47.165,minute,0.000956203
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,1.17,4.495,ventral,0.112,-72.406,minute,0.000956203
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,2.092,2.986,ventral,0.112,-105.002,minute,0.000692469
Bmet,Bmet3,Bmet3_R2,R2,MCZ84813,81.23,23.182992,6.771,0.935,ventral,0.111,-6.731,minute,0.00136649
Cpli,Cpli1,Cpli1_R2,R2,MCZ70487,89.17,19.061665,5.242,1.949,ventral,0.111,-122.227,minute,0.001244813
Cpli,Cpli2,Cpli2_R2,R2,MCZ132708,105.13,21.22857,4.353,4.17,ventral,0.111,-90,minute,0.001055836
Cpli,Cpli3,Cpli3_R2,R2,MCZ132707,124.64,27.00343,5.217,0.53,ventral,0.111,-57.724,minute,0.000890565
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,2.962,2.878,ventral,0.111,-76.923,minute,0.002020386
Ifas,Ifas1,Ifas1_R3,R3,MCZ149522,276.64,22.06386,4.394,4.019,ventral,0.111,-89.737,minute,0.000401243
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,6.724,2.984,,0.111,NA,minute,0.000507661
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,0.817,1.2,ventral,0.111,-110.225,minute,0.000947665
Mbar,Mbar4,Mbar4_R3,R3,MCZ64833,117.13,28.763,4.495,1.57,ventral,0.111,-90.954,minute,0.000947665
Pgue,Pgue1,Pgue1_R3,R3,MCZ131481,95.69,36.162,5.28,4.417,ventral,0.111,-87.9,minute,0.001159996
Pgue,Pgue3,Pgue3_R3,R3,MCZ131481,102.3,34.134724,4.188,4.387,ventral,0.111,-92.603,minute,0.001085044
Pmic,Pmic2,Pmic2_R1,R1,MCZ58801,66.5,26.188785,0.639,0.548,ventral,0.111,-79.183,minute,0.001669173
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.442,4.476,ventral,0.11,-102.804,minute,0.001960435
Bmet,Bmet1,Bmet1_R2,R2,MCZ84817,84.73,13.549068,1.168,2.882,ventral,0.11,-179.037,minute,0.001298241
