species,specimen,id,region,catalog,SL,image_area,x,y,direction,diameter,angle,type,diameter_SL
Cpli,Cpli2,Cpli2_R2,R2,MCZ132708,105.13,21.22857,6.297,2.58,ventral,0.291,-94.014,serial,0.002768002
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,0.912,1.499,ventral,0.287,-104.875,minute,0.002043868
Bmet,Bmet2,Bmet2_R2,R2,MCZ84813,108.78,16.361625,2.1,1.986,ventral,0.286,-89.076,serial,0.00262916
Pgue,Pgue1,Pgue1_R1,R1,MCZ131481,95.69,24.818784,4.405,3.637,,0.284,NA,serial,0.002967917
Cslo,Cslo4,Cslo4_R2,R2,MCZ128954,135.9,33.68643,2.085,2.59,ventral,0.283,-88.977,minute,0.002082414
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,4.059,4.654,ventral,0.279,-107.919,minute,0.001986896
Cslo,Cslo4,Cslo4_R2,R2,MCZ128954,135.9,33.68643,4.907,2.156,ventral,0.278,-78.486,minute,0.002045622
Anig,Anig3,Anig3_R2,R2,MCZ52845,49.14,14.598325,0.138,3.805,ventral,0.275,-93.18,serial,0.005596256
Anig,Anig3,Anig3_R2,R2,MCZ52845,49.14,14.598325,2.842,3.837,ventral,0.275,-93.122,serial,0.005596256
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,6.128,4.166,ventral,0.274,-67.218,minute,0.002388424
Pgue,Pgue1,Pgue1_R1,R1,MCZ131481,95.69,24.818784,1.797,3.524,,0.273,NA,serial,0.002852963
Lgla,Lgla1,Lgla1_R2,R2,MCZ89460,79.83,14.73827,5.877,4.675,ventral,0.27,-109.315,serial,0.003382187
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.228,2.06,ventral,0.268,-88.919,serial,0.004776332
Lgla,Lgla2,Lgla2_R2,R2,MCZ98460,83.64,18.395368,3.836,2.759,ventral,0.267,-91.148,serial,0.003192253
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,0.79,4.206,ventral,0.266,-45.032,serial,0.004841645
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,3.063,1.042,,0.263,NA,minute,0.001165419
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,6.793,2.176,ventral,0.261,-86.698,serial,0.004651577
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,1.775,4.095,ventral,0.256,-39.147,serial,0.004659629
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,0.421,3.115,,0.255,NA,minute,0.001028807
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,6.453,3.35,ventral,0.254,-72.646,serial,0.005302714
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,3.611,4.591,ventral,0.254,-62.064,serial,0.004623225
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,6.163,0.679,,0.249,NA,minute,0.001103381
Pmic,Pmic3,Pmic3_R2,R2,MCZ70579,66.52,36.575,4.364,4.727,ventral,0.249,-85.426,serial,0.003743235
Sboa,Sboa2,Sboa2_R1,R1,MCZ129188,164.68,36.425522,3.962,4.14,ventral,0.249,-99.462,minute,0.001512023
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,2.717,4.293,ventral,0.248,-51.906,serial,0.004514015
Tden,Tden5,Tden5_R2,R2,MCZ96771,62.62,17.292042,0.952,4.748,ventral,0.248,-149.098,serial,0.003960396
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,4.509,4.752,ventral,0.246,-74.586,serial,0.004477612
Cslo,Cslo4,Cslo4_R2,R2,MCZ128954,135.9,33.68643,6.098,2.408,ventral,0.245,-104.323,minute,0.001802796
Ebar,Ebar4,Ebar4_R3,R3,MCZ148300,54.94,19.42824,5.319,4.968,ventral,0.245,-31.923,serial,0.00445941
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,0.363,0.616,,0.245,NA,minute,0.000988461
Anig,Anig1,Anig1_R2,R2,MCZ52845,47.9,24.555973,3.736,3.231,ventral,0.244,-90,serial,0.005093946
Tden,Tden3,Tden3_R2,R2,MCZ96771,60.34,14.969294,0.141,5.053,ventral,0.242,-87.614,serial,0.004010607
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,3.214,3.941,ventral,0.241,-53.616,minute,0.002100767
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,5.957,4.141,,0.241,NA,minute,0.000972323
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,0.989,2.357,ventral,0.24,-104.197,minute,0.001709158
Anig,Anig3,Anig3_R2,R2,MCZ52845,49.14,14.598325,1.487,3.83,ventral,0.239,-91.219,serial,0.004863655
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,4.596,0.807,,0.239,NA,minute,0.001059069
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,5.099,2.75,,0.238,NA,minute,0.000960219
Pmic,Pmic2,Pmic2_R2,R2,MCZ58801,66.5,19.096749,4.37,3.454,ventral,0.237,-87.067,serial,0.00356391
